id,track,severity,article,target,title,evidence,recommendation
F-01,Inventory,high,"Art.13(1)(c),30",PrivacyPolicy.tsx,Under-disclosed data categories,"Policy lists name/email/message only; DB stores 10+ additional PII tables (profiles, MFA, consent_audit_log, security_events, analytics, user_products, product_feedback, role_*, email_send_log)",Enumerate every PII category per user-type in policy
F-02,Inventory,high,"Art.13(2)(a-f),14,77",PrivacyPolicy.tsx,Missing required Art.13/14 disclosures,"No controller identity, no DPO, no per-category retention, no right-to-complain/portability/restriction/object/Art.22, no legal-basis statement",Rewrite policy with full Art.13/14 sections
F-03,Inventory,high,"Art.13(1)(f),28,44,46",PrivacyPolicy.tsx,Undisclosed sub-processors & US transfers,"Resend, Mailchimp, Paddle, GitHub, Lovable not named; US transfer mechanism (SCC/DPF) not stated",Publish /subprocessors page; reference SCC/DPF in policy; verify Supabase region
F-04,Inventory,medium,Art.5(1)(b),PrivacyPolicy.tsx,Stale Last-updated date,"Header reads Dec 17 2024; schema has grown materially since",Re-date and version policy on every material change
F-05,RLS,info,Art.32,public.* tables,RLS hardening verified,"17 PII tables tested; all returned HTTP 401 to anon SELECT and INSERT",None — keep pattern
F-06,RLS,low,Art.32,consent_audit_log/email_send_log,SELECT policies scoped to role public,"Pattern inconsistent with rest of schema (rest scoped to authenticated)",Re-scope policies TO authenticated
F-07,EdgeFn,high,"Art.32,CSRF",send-contact-email/submit-product-feedback,Origin allowlist not server-side enforced,"POST from Origin https://evil.example.com to send-contact-email returned HTTP 200; only browsers blocked by ACAO",Reject non-allowlisted Origin server-side as track-analytics already does
F-08,EdgeFn,medium,Art.32,All public edge fns,In-memory rate-limit bypassable across isolates,"new Map() is per-isolate; horizontally scaled functions reset state per cold start",Move rate-limit state to Postgres with upsert on (ip_hash,function,window)
F-09,EdgeFn,low,Art.32,contact/newsletter/feedback,No CAPTCHA on public POSTs,"Combined with F-08 enables spam relay through dlinrt.eu sender domain",Add Cloudflare Turnstile or hCaptcha invisible challenge
F-10,Auth,info,Art.17,delete-account,Account deletion path correctly purges core PII,"Requires password+MFA re-auth; cascades FKs on profiles/user_roles/user_products/mfa_*/consent_audit_log/role_*",Extend to scrub email-keyed rows (see F-12)
F-11,Auth,info,Art.32,MFA + unsubscribe,Hashing/signing primitives correct,"Backup codes bcrypt-hashed via store-backup-code; unsubscribe tokens HMAC-SHA256 with 3-day TTL",None
F-12,Retention,high,Art.17,"contact_submissions, analytics_*, security_events, email_send_log, newsletter_subscribers, product_feedback",No automated retention or post-deletion email scrubbing,"Policy promises 2y/1y retention but no cron purges these tables; delete-account does not scrub email-keyed PII",Add scheduled cleanup-retention edge function + email-scrub step in delete-account
F-13,Rights,medium,"Art.15,20",/profile,No self-service data export,"Only manual email path to info@dlinrt.eu","Add Download My Data button returning JSON bundle of user-owned rows"
F-14,Headers,low,Art.32,public/_headers CSP,script-src allows 'unsafe-inline',Inline scripts permitted in CSP,"Migrate to nonces/hashes, drop 'unsafe-inline'"
F-15,Leakage,medium,"Art.5(1)(c),security-memory",admin_audit_log.ip_address,Column allows raw IP storage,"Column typed text rather than hashed (others use ip_hash); contradicts Core security rule","Hash to SHA-256 before insert or rename column and migrate existing rows"
